uid,type,SBU（部门）,PRD号码,产品名称,巴斯夫产品名称,产品别名,默认商店,线上购买链接,品牌,产品描述,产品分类,化学成分,外观,行业,特性和优点,应用行业,注册国家,"固含量
（%）",稀释剂[浓度],含水量,官能度，计算值,"分子量 
(Mw)","粘度, 25?C
(mPa.s)","粘度, 23?C
(Pa.s)",%NCO,K值,氯质量分数(%),酸值 （mg KOH/g）,"密度, 25?C (g/cm3)",玻璃化温度(?C),胺值 （mg KOH/g）,"pH 
(25oC)",最低成膜温度 (℃),冻融稳定性(-5 °C),羟值（mg KOH/g solids）,羟基含量（%基于固含）,软化点 (oC),VOC,粒径大小 nm,细度,色度 （Gardner),溶剂,包装,产地,样品包装,推荐配方
1,default,EDR,30450392,Joncryl? HYB 6336,Joncryl? HYB 6336,Joncryl? HYB 6336,1,https://basfinchina.1688.com/page/offerlist_98047612.htm?spm=a2615.7691456.autotrace-categoryNavNew.7.5836dc8buyLxDr,42,一款生态环保，不含NMP的脂肪族聚氨酯丙烯酸杂化物，可用于高品质的水性木器涂料和3C涂料,83,聚氨酯丙烯酸乳液,半透明乳状液体,"2,6",出色的耐磨，耐刮擦和化学抗性  |  优异的漆膜透明性  |  良好的漆膜丰满度和外观  |  良好的铝银粉定向  |  在木材，塑料等底材上都有良好的附着力  |  不含NMP，生态友好  |  ,高品质工业木器涂料的透明面漆#3C涂料的银粉漆,CN,36.5~38.5,,,,,<=200,,,,,,,,,7.8~8.6,40,不稳定,,,,,,,,,200kg,NL,"50187890,0,11",
1,default,EDR,30627460,Joncryl? HYB 6340,Joncryl? HYB 6340,Joncryl? HYB 6340,1,https://basfinchina.1688.com/page/offerlist_98047612.htm?spm=a2615.7691456.autotrace-categoryNavNew.7.5836dc8buyLxDr,42,一款无溶剂的脂肪族聚氨酯丙烯酸杂化产品，可用于木器家具和地板行业的高端水性清漆。,83,聚氨酯丙烯酸乳液,白色乳状液体,2,超好的耐磨性  |  出色的耐刮擦性  |  良好的耐化学性  |  防黑鞋印性能优异  |  不含NMP，生态友好,推荐被应用于高品质的水性透明木器清漆#尤其适合专业的木地板和木器家具行业,CN,40,,,,,40,,,,,,,,,7.6,45,不稳定,,,,,,,,,200kg,NL,"50414803,0,11",
1,default,EDR,30747533,Joncryl? HYB 6345 ap,Joncryl? HYB 6345 ap,Joncryl? HYB 6345 ap,1,https://basfinchina.1688.com/page/offerlist_98047612.htm?spm=a2615.7691456.autotrace-categoryNavNew.7.5836dc8buyLxDr,42,一款新开发的聚氨酯丙烯酸 (PUA) 杂化乳液，具有非常优异的耐刮擦性能和干膜滑爽性，干膜透性高，适合用于中高端木器面漆,83,聚氨酯丙烯酸乳液,半透明乳状液体,2,漆膜抗划耐磨，持久耐用  |  硬度建立快，适合堆叠  |  手感细腻柔滑，无需滑爽助剂  |  高光高透，漆膜丰满度好  |  耐化学性好，提供更好的保护,推荐用于中高端的木器面漆，尤其是高丰满度需求的清漆,CN,36,,,,,30,,,,,,,,,8,35,不稳定,,,,,,,,,,CN,"50677359,0,11",17
1,default,EDR,30436434,Joncryl? U 4190,Joncryl? U 4190,Joncryl? U 4190,1,https://basfinchina.1688.com/page/offerlist_98047612.htm?spm=a2615.7691456.autotrace-categoryNavNew.7.5836dc8buyLxDr,42,一款不含NMP的脂肪族聚氨酯乳液,84,聚氨酯乳液,透明液体,"2,6",非常好的耐磨性  |  漆膜韧性优异  |  良好的耐化学品性  |  对多种基材具有附着力  |  不含NMP，生态友好,Joncryl? U 4190与多种丙烯酸乳液都能相容，适合用作混合载体#适用于木材，金属，水泥以及多种塑料底材（包括ABS和PC）,CN,36.5,,,,,80,,,,,,,,,8.5,23,不稳定,,,,,,,,,220kg  |  1000kg  |  ,DE,"50246566,0,11",
1,default,EDR,30282549,Joncryl? 8211,Joncryl? 8211,Joncryl? 8211,1,https://basfinchina.1688.com/page/offerlist_98047612.htm?spm=a2615.7691456.autotrace-categoryNavNew.7.5836dc8buyLxDr,42,一款具有流变控制特性的丙烯酸乳液，适用于塑料涂料和金属涂料，具有极佳的附着力、耐化学品性和耐溶剂性能,82,丙烯酸乳液,半透明状态乳液,"6,10",对各种类型基材有着极佳的附着力  |  良好的户外耐久性  |  优异的施工流变特性  |  金属颜料稳定性好  |  ,"可适用于多种应用中，如：金属底漆、面漆以及塑料漆#适合喷涂、刷涂、浸涂和淋涂等施工方式#可用于含有防锈颜料的空气自干型涂料配方，适合户内外防腐底漆和面漆#在各种金属底材上有极好的附着力，如：冷轧钢、铝材、镀锌板、钢材等#同样非常适合用于塑料涂层，它在许多塑料基材上有极好的附着力，如： ABS, PVC, UP, PS, PC 等",CN,42.0 ~ 45.5,,,,,50 ~ 250,,,,,,,,,7.2 ~ 8,~57,稳定,,,,,,,,,200kg,NL,"51466222,0,11",
1,default,EDR,30282559,Joncryl? OH 8300,Joncryl? OH 8300,Joncryl? OH 8300,1,https://basfinchina.1688.com/page/offerlist_98047612.htm?spm=a2615.7691456.autotrace-categoryNavNew.7.5836dc8buyLxDr,42,一款基于流变控制的丙烯酸乳液，用于水性烤漆体系，适用于金属和玻璃涂料应用领域,82,含羟基的苯乙烯丙烯酸乳液，流变控制技术,半透明乳液,"6,10",适用于1K热固性涂料，可以与氨基树脂或封闭型异氰酸酯发生交联反应  |  在金属和玻璃基材上有优异的附着力  |  良好的机械性能  |  良好的户外耐久性  |  优异的耐水、耐化学品和耐腐蚀性能  |  特殊的流变特性赋予优异的施工性能（喷涂和滚涂）  |  优异的颜料润湿性能  |  非常高的光泽  |  ,适用于汽车与一般工业领域，如面漆、金属、玻璃或其他烘烤固化涂料#非常适合用于替代水可稀释的或溶剂型的丙烯酸氨基和醇酸氨基体系#可以用于加热固化条件的户内外涂料，主要应用在DTM金属漆、面漆和玻璃漆。,CN,42~45,,,,,50~ 500,,,,,,,,,9.4~9.9,<15,,~42,~1.3,,,,,,,200kg,NL,"51466646,0,11",
1,default,EDR,30288267,Joncryl? OH 8311,Joncryl? OH 8311,Joncryl? OH 8311,1,https://basfinchina.1688.com/page/offerlist_98047612.htm?spm=a2615.7691456.autotrace-categoryNavNew.7.5836dc8buyLxDr,42,一款基于流变控制技术的羟基丙烯酸乳液，适用于水性双组份体系，可应用于金属和木器涂料等,82,羟基丙烯酸乳液,半透明乳液,"6,10",3.6%的羟基含量（基于固含）  |  可与异氰酸酯交联反应  |  对各种基材均有好的附着力  |  良好的户外耐久性  |  优异的施工流变性能,适用于水性双组份体系，可应用于金属和木器涂料等,CN,~ 42,,,,,< 200,,,,,,,,,~ 7.5,~ 50,,~ 120,~ 3.6,,,,,,,200kg  |  1000kg  |  ,,"51466752,0,11",
1,default,EDR,30650880,Luhydran? S 938 ap,Luhydran? S 938 ap,Luhydran? S 938 ap,1,https://basfinchina.1688.com/page/offerlist_98047612.htm?spm=a2615.7691456.autotrace-categoryNavNew.7.5836dc8buyLxDr,50,一款特殊的的羟基丙烯酸乳液，既可与氨基树脂组合用于单组分烤漆，又可以用于双组分聚氨酯涂料,82,羟基丙烯酸乳液,白色乳状液体,"2,6,10",可与多异氰酸酯或氨基树脂交联固化  |  硬度高，耐刮擦好  |  优异的耐化学品性  |  快干抗粘连  |  耐水解  |  适合用于半光/哑光色漆体系水性双组分聚氨酯  |  ,可与氨基树脂混合，用作酸固化或热固化烤漆配方的树脂，应用于家具贴面纸。#适合用于半光/哑光色漆体系水性双组分聚氨酯,CN,45,,,,,25,,,,,,,,,2,60,稳定,100,,,,,,,,150kg  |  1000kg  |  ,CN,"50464975,0,11#50551524,0,12",
1,default,EDR,30682858,Joncryl? OH 8770 AP,Joncryl? OH 8770 AP,Joncryl? OH 8770 AP,1,https://basfinchina.1688.com/page/offerlist_98047612.htm?spm=a2615.7691456.autotrace-categoryNavNew.7.5836dc8buyLxDr,42,一款特别适合超高光的木器涂料领域应用的羟基丙烯酸乳液,82,羟基丙烯酸乳液,白色乳状液体,2,快干，硬度建立快，最终硬度高  |  异氰酸酯用量少，配方成本更低，低起泡倾向  |  更多自交联，更好的耐化学品性能  |  高光高透，漆膜丰满度更好  |  耐堆叠性优异，满足生产应用要求  |  与异氰酸酯反应，活化期长  |  良好的耐候性，产品更耐用  |  不含APEO和芳香烃，生态友好  |  ,推荐用于高端木制家具和橱柜的高光面漆,CN,45,,,,,60,,,,,,,,,6.5,72,稳定,127,3.8,,,,,,,200kg,CN,"50603483,0,11#50603489,0,12",
1,default,EDR,30675040,Joncryl? OH 8314,Joncryl? OH 8314,Joncryl? OH 8314,1,https://basfinchina.1688.com/page/offerlist_98047612.htm?spm=a2615.7691456.autotrace-categoryNavNew.7.5836dc8buyLxDr,42,一款独特的水性羟基聚合物，可用于高性能双组分单涂层和多涂层的金属防护工业涂料,82,羟基丙烯酸乳液,乳白色液体,6,能通过粘度的增加展示活化期的终点  |  可做低VOC配方  |  出色的防腐蚀性能  |  在多种底材都有良好的附着力  |  良好的硬度发展  |  优异的耐化学品性  |  ,室内或者室外的工程维护应用#室内或室外的金属防护工业应用#底面合一（单涂层）的防腐涂料#交通运输工业应用#水泥基和木器涂料,CN,43~45,,,,,100~700,,,,,,,,,7.8~8.3,42,不稳定,70,,,,,,,,200kg  |  997.903kg  |  ,US,"50517779,0,11",
1,default,EDR,30364622,Acronal? PRO 761,Acronal? PRO 761,Acronal? PRO 761,1,https://basfinchina.1688.com/page/offerlist_98047612.htm?spm=a2615.7691456.autotrace-categoryNavNew.7.5836dc8buyLxDr,51,一款不含APEO的自交联型乳液，用于轻度至中度防腐底漆，以及一般工业金属防护的应用,82,苯丙乳液,白色乳状液体,6,优异的防腐性  |  良好的粘附力  |  与防腐颜料有较好的相容性  |  良好的打磨性  |  不含APEO，生态环保,特别适合应用于需要良好附着力的轻度至中度工业防护（ISO 12944-2 C2-C3等级）#该产品可以配制水性防腐涂料，用在锌或铝等难处理的金属上,CN,50,,,,,325,,,,,,,,,9.3,22,不稳定,,,,,,,,,120kg  |  1000kg  |  ,DE,,
1,default,EDR,30625491,Acronal? PRO 763,Acronal? PRO 763,Acronal? PRO 763,1,https://basfinchina.1688.com/page/offerlist_98047612.htm?spm=a2615.7691456.autotrace-categoryNavNew.7.5836dc8buyLxDr,51,一款硅烷改性的丙烯酸聚合物乳液，可用于工业金属防护涂料,82,硅烷改性丙烯酸乳液,白色乳状液体,6,优异的耐腐蚀和耐潮气性能  |  对各种金属均具有粘附力  |  良好的早期耐水性  |  与颜料的相容性极佳  |  ,主要用于通用工业防护涂料#可用于配制水性的底面合一（单涂层）涂料和防腐底漆,CN,50,,,,,100~250,,,,,,,,,7~8,28,不稳定,,,,,,,,,150kg  |  1000kg  |  ,DE,"50409428,0,11",
1,default,EDR,30625809,Acronal? PRO 780,Acronal? PRO 780,Acronal? PRO 780,1,https://basfinchina.1688.com/page/offerlist_98047612.htm?spm=a2615.7691456.autotrace-categoryNavNew.7.5836dc8buyLxDr,51,一款用于中度防腐底漆、腻子或面漆的聚合物乳液，应用于工业金属涂料,82,苯丙乳液,白色乳状液体,6,良好的阻隔性，增强防腐性能  |  适合中轻防腐的底漆应用  |  在钢材上有良好的附着力  |  优异的施工性 (如无气喷涂，浸涂等)  |  颜填料载入量高  |  不含APEO和锌盐  |  ,一款独特的阻隔抑制型聚合物乳液，适用于中度防腐底漆、腻子或面漆（ISO 12944-2:C2-C3等级）,CN,50,,,,,190,,,,,,,,,8.5,22,不稳定,,,,,,,,,150kg  |  1000kg  |  ,DE,"50412349,0,11",
1,default,EDR,30068561,Acronal? PRO 8977,Acronal? PRO 8977,Acronal? PRO 8977,1,https://basfinchina.1688.com/page/offerlist_98047612.htm?spm=a2615.7691456.autotrace-categoryNavNew.7.5836dc8buyLxDr,51,一款不含APEO的自交联聚合物乳液，应用于水性中度防腐涂料,82,丙烯酸乳液,白色乳状液体,6,良好的耐腐蚀和耐潮气性能  |  极佳的抗粘连性  |  良好的早期耐水性  |  良好的打磨性 (室温干燥2小时后)  |  颜料载入量高 (PVC=35%)  |  不含APEO，生态友好  |  ,添加合适的防腐颜料和填料可以配制具有出色防腐性能的涂料。 其面漆几乎可以被染成任何所需的色彩#即使不加任何颜填料，其漆膜都有很好的防闪锈效果#可广泛用于金属基材的涂料配方。即使不加任何颜填料，其漆膜都有很好的防闪锈效果#表现出良好的早期耐水性，即使对于难处理的金属（例如锌或铝）也具有出色的附着力#,CN,50,,,,,200,,,,,,,,,9.5,37,稳定,,,,,,,,,150kg  |  1050kg  |  ,DE,"50854757,0,11",
1,default,EDR,30717863,Joncryl? PRO 1522 CN,Joncryl? PRO 1522 CN,Joncryl? PRO 1522 CN,1,https://basfinchina.1688.com/page/offerlist_98047612.htm?spm=a2615.7691456.autotrace-categoryNavNew.7.5836dc8buyLxDr,42,一款改性丙烯酸乳液，可用于高光泽耐腐蚀涂料,82,改性丙烯酸乳液,乳白色液体,6,良好的防腐蚀性能，优于市面底面合一金属涂料用的水性树脂  |  高光泽度(> 80GU @60°）  |  能做低VOC配方（< 150 g/L）  |  良好的早期耐水性  |  良好的户外耐久性  |  适用于刷涂、辊涂、喷涂和浸涂  |  ,用于户内或者户外，在金属上的通用工业涂料#在25~40微米干膜厚度下，高光( > 80GU @ 60°)的底面合一OEM工业涂料,CN,44~46,,,,,150 ~ 950,,,,,,,,,8.5 ~ 9.5,26,稳定,,,,,,,,,200kg  |  1000kg  |  ,CN,"50611387,0,11#50611389,0,12",
1,default,EDR,30590415,Joncryl? PRO 1524,Joncryl? PRO 1524,Joncryl? PRO 1524,1,https://basfinchina.1688.com/page/offerlist_98047612.htm?spm=a2615.7691456.autotrace-categoryNavNew.7.5836dc8buyLxDr,42,一款可用于高光防腐涂料丙烯酸乳液,82,丙烯酸乳液,半透明乳状液,6,优异的金属防腐能力  |  高光泽（>80GU @60°）  |  能做低VOC配方（<100 g/L）  |  在金属底材上有很好的湿附着力和干附着力  |  优异的耐候性  |  良好的耐化学品性  |  不含APEO,用于户内或者户外的通用金属工业涂料#高光泽（>80GU @60°）的工业DTM涂料,CN,41.5 ~ 44.0,,,,,"250 ~ 1,750",,,,,,,,,7.5 ~ 8.9,25,稳定,,,,,,,,,200kg,NL,"50347630,0,11",
1,default,EDR,30590230,Joncryl? PRO 1532,Joncryl? PRO 1532,Joncryl? PRO 1532,1,https://basfinchina.1688.com/page/offerlist_98047612.htm?spm=a2615.7691456.autotrace-categoryNavNew.7.5836dc8buyLxDr,42,一款可用于工程养护和工业涂料领域的丙烯酸乳液,82,丙烯酸乳状液体,白色乳状液体,6,对多种基材具有出色的附着力  |  耐潮气，隔绝空气中水分侵蚀  |  耐腐蚀性好,用于底漆，面漆以及直接用于金属的应用#通用金属涂料，地板、家具或木制品等的木器涂料，塑胶涂料以及水泥基涂料，室内室外均适用。,CN,50~52,,,,,100 ~ 700,,,,,,,,,7.2 ~ 8.2,14,稳定,,,,,,,,,200kg,NL,"50346511,0,11",
1,default,EDR,30488924,Joncryl? PRO 1522,Joncryl? PRO 1522,Joncryl? PRO 1522,1,https://basfinchina.1688.com/page/offerlist_98047612.htm?spm=a2615.7691456.autotrace-categoryNavNew.7.5836dc8buyLxDr,42,一款改性丙烯酸乳液，可用于高光泽耐腐蚀涂料,82,改性丙烯酸乳液,乳白色液体,6,良好的防腐蚀性能，优于市面底面合一金属涂料用的水性树脂  |  高光泽度(> 80GU @60°）  |  能做低VOC配方（< 150 g/L）  |  良好的早期耐水性  |  良好的户外耐久性  |  适用于刷涂、辊涂、喷涂和浸涂  |  ,用于户内或者户外，在金属上的通用工业涂料#在25~40微米干膜厚度下，高光( > 80GU @ 60°)的底面合一OEM工业涂料,CN,44~46,,,,,150 ~ 950,,,,,,,,,8.5 ~ 9.5,26,稳定,,,,,,,,,200kg,NL,"50101989,0,11",
1,default,EDR,30282273,Joncryl? 1532,Joncryl? 1532,Joncryl? 1532,1,https://basfinchina.1688.com/page/offerlist_98047612.htm?spm=a2615.7691456.autotrace-categoryNavNew.7.5836dc8buyLxDr,42,一款可用于工程养护和工业涂料领域的丙烯酸乳液,82,丙烯酸乳状液体,白色乳状液体,6,对多种基材具有出色的附着力  |  耐潮气，隔绝空气中水分侵蚀  |  耐腐蚀性好,用于底漆，面漆以及直接用于金属的应用#通用金属涂料，地板、家具或木制品等的木器涂料，塑胶涂料以及水泥基涂料，室内室外均适用。,CN,50~52,,,,,100 ~ 700,,,,,,,,,7.2 ~ 8.2,14,稳定,,,,,,,,,217.724kg  |  997.903kg  |  ,US,"54039741,0,11",
1,default,EDR,30550617,Laromer? EA 8765 R,Laromer? EA 8765 R,Laromer? EA 8765 R,1,https://basfinchina.1688.com/page/offerlist_98047612.htm?spm=a2615.7691456.autotrace-categoryNavNew.7.5836dc8buyLxDr,44,一款脂肪族环氧丙烯酸酯，可用于配制木材、木制品、纸张和塑料底材用的辐射固化印刷油墨及涂料,87,脂肪族环氧丙烯酸酯,中低粘度液体,"2,6",部分水溶  |  柔韧性好  |  反应活性高,该树脂可单独使用或与其他不饱和丙烯酸树脂混和使用，用于配制木材、木制品、塑料和纸张底材所需的印刷油墨及涂料。,CN,,无,,2,,,0.6~1.2,,,,,,,,,,,330,,,,,,,,200kg,DE,"50014837,0,11",
1,default,EDR,30061785,Laromer? LR 8986,Laromer? LR 8986,Laromer? LR 8986,1,https://basfinchina.1688.com/page/offerlist_98047612.htm?spm=a2615.7691456.autotrace-categoryNavNew.7.5836dc8buyLxDr,44,一款环氧丙烯酸酯，可用于辐射固化的印刷油墨和涂料，应用于木材、木制品、纸张和塑料底材,87,环氧丙烯酸酯，不含活性稀释剂,中等粘度液体,"2,6",不含活性稀释剂  |  低粘度  |  良好的耐化学品性  |  良好的耐刮擦性  |  ,可以使用如聚醚丙烯酸酯稀释，配制不含单体的面漆、底漆和封闭底漆。#可以制备具有出色化学抗性和机械性能的漆膜,CN,,无,,2.4,,,3~ 6,,,,,,,,,,,170,,,,,,,,220kg,DE,"50078885,0,11",
1,default,EDR,30170627,Laromer? LR 9019,Laromer? LR 9019,Laromer? LR 9019,1,https://basfinchina.1688.com/page/offerlist_98047612.htm?spm=a2615.7691456.autotrace-categoryNavNew.7.5836dc8buyLxDr,44,一款芳香族的改性环氧丙烯酸酯，可用于辐射固化的印刷油墨和涂料，应用于木材、木制品、纸张和塑料底材,87,芳香族的改性环氧丙烯酸酯，不含活性稀释剂,粘稠液体,"2,6",不含活性稀释剂  |  反应活性高  |  良好的耐刮擦性,用于木材和木质材料的底漆、封闭底漆和面漆#可以制备具有良好耐化学性和耐刮擦性的漆膜,CN,,无,,2.4,,,12~ 20,,,,,,,,,,,175,,,,,,,,220kg,DE,"51161098,0,11",
1,default,EDR,30041349,Laromer? PE 56 F,Laromer? PE 56 F,Laromer? PE 56 F,1,https://basfinchina.1688.com/page/offerlist_98047612.htm?spm=a2615.7691456.autotrace-categoryNavNew.7.5836dc8buyLxDr,44,一款不含稀释剂的聚酯丙烯酸酯，可用于辐射固化的印刷油墨和涂料，应用于木材、木制品、纸张和塑料底材,95,聚酯丙烯酸酯,粘稠液体,"2,6",不含活性稀释剂  |  均衡的性能  |  良好的韧性,用来配制底漆、封闭底漆和面漆，主要应用于家具和地板行业,CN,,无,,2.8,,,20~ 40,,,,,,,,,,,70,,,,,,,,220kg,DE,"50082431,0,11",
1,default,EDR,30041346,Laromer? PE 8800,Laromer? PE 8800,Laromer? PE 8800,1,https://basfinchina.1688.com/page/offerlist_98047612.htm?spm=a2615.7691456.autotrace-categoryNavNew.7.5836dc8buyLxDr,44,一款液态的聚酯改性丙烯酸树脂，可用于能量固化的涂料，应用于木材、木制品和纸张底材,95,聚酯丙烯酸酯,低度到中度粘稠液体,2,出色的硬度  |  耐化学品性能高  |  不含活性单体,用以配制EB/UV固化涂料，应用于木材、木制品和纸张底材#室内或室外通用工业金属涂料#室内或室外塑料件涂料#室内或室外的木器涂料（地板、家具和木制品）#,CN,,无,,2.6,,,4~ 8,,,,,,,,,,,80,,,,,,,,220kg,DE,"50083014,0,11",
